fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220525 155115	-0.0925432365585453	6864	1	9	5	9455000	102
20220525 155229	-0.920674828675648	1627	660	19	5	10541000	103
20220525 155341	-0.317055160221176	1177	585	13	5	10835000	104
20220525 155450	-0.999705074942011	1490	626	13	5	10653000	105
20220525 155601	-0.475443926989522	1553	769	18	5	10204000	106
20220525 155657	-0.320751771840668	5937	1997	11	5	9522000	107
20220525 155805	-0.958633142085353	1436	624	12	5	10805000	108
20220525 155918	-0.0966916525428571	1176	588	20	5	10825000	109
20220525 160021	-0.103974953029901	2290	1139	20	5	9732000	110
20220525 160147	-0.0926931732651184	626	312	20	5	9713000	111
20220525 160304	-0.718353630823984	6283	1	13	5	9596000	112
20220525 160414	-0.102474954124499	1358	664	15	5	10533000	113
20220525 160502	-0.958511142094257	1583	662	6	5	10540000	114
20220525 160610	-0.103337009393564	2947	589	20	5	10142000	115
20220525 160719	-0.969537741299807	1564	628	17	5	10654000	116
