fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion	
20220520 213635	-0,217453723819429	4804	150	3	5	8973000	19	-0,217453724
20220521 015734	-0,259742562593253	5328	984	3	5	8894000	95	-0,259742563
20220520 214646	-0,212231666388959	1842	906	3	5	8877000	34	-0,212231666
20220520 215840	-0,213676749622617	1847	914	3	5	8877000	37	-0,21367675
20220521 011523	-0,56392473206491	5884	120	3	5	8877000	60	-0,563924732
20220520 213216	-0,129658957097854	6734	359	3	5	8579000	9	-0,129658957
20220520 213518	-0,587405470393908	6745	721	3	5	8579000	16	-0,58740547
20220520 220347	-0,704433247558744	7308	1	3	5	8374000	46	-0,704433248
20220521 014325	-0,999704041508649	7996	1688	3	5	8374000	83	-0,999704042
20220521 022307	-0,243036755867183	7988	1	3	5	8374000	117	-0,243036756
20220520 214509	-0,325203364345638	7997	750	8	5	8374000	31	-0,325203364
20220521 012833	-0,877426183322637	7997	526	20	5	8374000	71	-0,877426183
20220521 013702	-0,66798289406874	8000	1261	20	5	8374000	77	-0,667982894
20220521 020808	-0,907646595092349	8000	2	3	5	8373000	104	-0,907646595
20220521 020615	-0,99986436563891	5564	2000	3	5	8345000	102	-0,999864366
20220521 021728	-0,639107331373182	4006	1999	3	5	8345000	112	-0,639107331
20220520 213237	-0,893176641254104	7563	949	4	5	8332000	10	-0,893176641
20220520 213113	-0,344932943343883	7351	245	19	5	8332000	7	-0,344932943
20220521 011733	-0,815559087617858	7563	2000	20	5	8332000	62	-0,815559088
20220521 012433	-0,999952405094002	5460	1341	3	5	8268000	68	-0,999952405
20220520 214441	-0,232394125446492	24	7	20	5	3722000	30	-0,232394125
20220521 005337	-0,681920489601544	12	6	20	5	2977000	48	-0,68192049
20220520 213501	0.,317859621563306	4918	1729	12	5	0	15	#¡VALOR!
20220520 213325	0.,0169760673161368	6475	1678	13	5	0	12	#¡VALOR!
20220520 213257	0.,501925406657393	3166	93	16	5	0	11	#¡VALOR!
