cp	min_split	min_bucket	max_depth	ganancia_promedio
-0.9	100	3	14	7631333
-0.9	100	2	4	7862667
-0.9	100	2	6	9356667
-0.9	100	2	8	9184000
-0.9	100	2	10	8856000
-0.9	100	2	12	8471333
-0.9	100	2	14	7247333
-0.9	50	20	4	7755333
-0.9	50	20	6	9726000
-0.9	50	20	8	8880667
-0.9	50	20	10	7282667
-0.9	50	20	12	6354667
-0.9	50	20	14	4617333
-0.9	50	10	4	8016667
-0.9	50	10	6	9443333
-0.9	50	10	8	9372667
-0.9	50	10	10	8427333
-0.9	50	10	12	8102000
-0.9	50	10	14	6066000
-0.9	50	5	4	8008667
-0.9	50	5	6	9257333
-0.9	50	5	8	9554667
-0.9	50	5	10	8470667
-0.9	50	5	12	8524667
-0.9	50	5	14	7950667
-0.9	50	3	4	7841333
-0.9	50	3	6	9330000
-0.9	50	3	8	9332000
-0.9	50	3	10	8612667
-0.9	50	3	12	8142667
-0.9	50	3	14	7654667
-0.9	50	2	4	7862667
-0.9	50	2	6	9358000
-0.9	50	2	8	9306000
-0.9	50	2	10	8942000
-0.9	50	2	12	8570667
-0.9	50	2	14	7313333
-0.9	20	10	4	8016667
-0.9	20	10	6	9499333
-0.9	20	10	8	9600000
-0.9	20	10	10	8774000
-0.9	20	10	12	8512000
-0.9	20	10	14	6324667
-0.9	20	5	4	8008667
-0.9	20	5	6	9237333
-0.9	20	5	8	9603333
-0.9	20	5	10	8509333
-0.9	20	5	12	8606667
-0.9	20	5	14	7848000
-0.9	20	3	4	7841333
-0.9	20	3	6	9292000
-0.9	20	3	8	9329333
-0.9	20	3	10	8656667
-0.9	20	3	12	8115333
-0.9	20	3	14	7686667
-0.9	20	2	4	7862667
-0.9	20	2	6	9370000
-0.9	20	2	8	9324000
-0.9	20	2	10	9007333
-0.9	20	2	12	8548667
-0.9	20	2	14	7257333
-0.9	10	5	4	8014667
-0.9	10	5	6	9188667
-0.9	10	5	8	9588667
-0.9	10	5	10	8443333
-0.9	10	5	12	8576667
-0.9	10	5	14	7854000
-0.9	10	3	4	7841333
-0.9	10	3	6	9250667
-0.9	10	3	8	9310000
-0.9	10	3	10	8604667
-0.9	10	3	12	8064667
-0.9	10	3	14	7763333
-0.9	10	2	4	7862667
-0.9	10	2	6	9360000
-0.9	10	2	8	9292000
-0.9	10	2	10	8944000
-0.9	10	2	12	8479333
-0.9	10	2	14	7262667
-0.5	1000	50	4	8496000
-0.5	1000	50	6	9716000
-0.5	1000	50	8	8994667
-0.5	1000	50	10	8854000
-0.9	1000	50	4	8496000
-0.9	1000	50	6	9716000
-0.9	1000	50	8	8994667
-0.9	1000	50	10	8854000
-0.9	1000	50	4	8496000
-0.9	1000	50	6	9716000
-0.9	1000	50	8	8994667
-0.5	1000	50	4	8496000
-0.5	1000	50	6	9716000
-0.5	1000	50	8	8994667
-0.5	1000	50	10	8854000
-0.5	1000	50	12	8527333
-0.5	1000	50	14	8477333
-0.5	1000	20	4	7829333
-0.5	1000	20	6	9627333
-0.5	1000	20	8	9177333
-0.5	1000	20	10	8616000
-0.5	1000	20	12	8662667
-0.5	1000	20	14	8457333
-0.5	1000	10	4	8070000
-0.5	1000	10	6	9334000
-0.5	1000	10	8	9246667
-0.5	1000	10	10	8884667
-0.5	1000	10	12	8672000
-0.5	1000	10	14	8567333
-0.5	1000	5	4	8058000
-0.5	1000	5	6	9302667
-0.5	1000	5	8	9674000
-0.5	1000	5	10	8885333
-0.5	1000	5	12	9058667
-0.5	1000	5	14	8870667
-0.5	1000	3	4	7809333
-0.5	1000	3	6	9296667
-0.5	1000	3	8	9476000
-0.5	1000	3	10	9138000
-0.5	1000	3	12	8798000
-0.5	1000	3	14	8846667
-0.5	1000	2	4	7828667
-0.5	1000	2	6	9320667
-0.5	1000	2	8	9397333
-0.5	1000	2	10	9206667
-0.5	1000	2	12	8705333
-0.5	1000	2	14	8494667
-0.5	800	50	4	8399333
-0.5	800	50	6	9827333
-0.5	800	50	8	8799333
-0.5	800	50	10	8168667
-0.5	800	50	12	7834000
-0.5	800	50	14	7748000
-0.5	800	20	4	7736667
-0.5	800	20	6	9582000
-0.5	800	20	8	8890667
-0.5	800	20	10	8015333
-0.5	800	20	12	8037333
-0.5	800	20	14	7799333
-0.5	800	10	4	7982000
-0.5	800	10	6	9233333
-0.5	800	10	8	9293333
-0.5	800	10	10	8622000
-0.5	800	10	12	8386667
-0.5	800	10	14	8296667
-0.5	800	5	4	7974000
-0.5	800	5	6	9217333
-0.5	800	5	8	9606000
