fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220525 162726	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	0.299765192440573	0.2014755182902	6294	330	0.0229463344948845	12430000	106
20220525 162744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	0.138136482597017	0.351619490569907	6179	759	0.0172669307012659	13046000	107
20220525 162954	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	749	TRUE	0.0103053628335947	0.334048532035515	5497	901	0.0148550590118283	13527000	108
20220525 163138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	587	TRUE	0.0105506226477728	0.314235750050523	7488	701	0.018890281667788	13613000	109
20220525 163326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	672	TRUE	0.0100799547445489	0.280977440590114	7532	913	0.0204263327123505	13139000	110
20220525 163349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	141	TRUE	0.0443674515236571	0.6684642995798	7503	710	0.0174818609910727	13349000	111
20220525 163358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.251573670645274	0.984899535689387	7461	1024	0.0186056621750031	13249000	112
20220525 163506	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	180	TRUE	0.010732235798252	0.866631640191023	2178	733	0.0149426400682973	13104000	113
20220525 163523	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.191692647758802	0.616563239886693	7392	148	0.0185833534697207	13196000	114
20220525 163643	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	597	TRUE	0.0101044132745655	0.753842751493218	7286	144	0.0179870855735511	13051000	115
20220525 163654	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.299810062091632	0.383081706816411	7459	1024	0.0172209689470571	12713000	116
20220525 163711	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.124839315001716	0.65237522149313	1858	1021	0.017976577498472	12571000	117
20220525 163726	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.2986560275253	0.997652840249386	1884	576	0.00836628220543023	10591000	118
20220525 163904	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	543	TRUE	0.0102438529673861	0.998933537507124	3009	1006	0.0152453861888139	13122000	119
20220525 164041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	433	TRUE	0.0100540763902733	0.64640685239858	2128	1017	0.011925967699314	12848000	120
