Feature	Gain	Cover	Frequency
mpasivos_margen	0.148340851856184	0.0395692796949361	0.0375
ctrx_quarter	0.112947451913414	0.0244131572900263	0.02265625
cpayroll_trx	0.0918842178154643	0.0205595638746077	0.0078125
Visa_msaldototal	0.083153453711771	0.0119847339768021	0.01640625
mcuentas_saldo	0.0303222788718826	0.0628853728202087	0.053125
mrentabilidad_annual	0.0286138664285985	0.0531308474358496	0.04453125
Master_fechaalta	0.0278076703534488	0.0363389256463957	0.04609375
mactivos_margen	0.0243814400849111	0.030890507993644	0.02890625
mprestamos_personales	0.0241463141923511	0.0226889946032553	0.0109375
mtarjeta_visa_consumo	0.0236933607018827	0.0247391991469905	0.01875
mpayroll	0.0206159505417276	0.0213573165069629	0.0078125
mcuenta_corriente	0.0202999722533121	0.024712128308736	0.02578125
ctarjeta_visa_trx2	0.0193255408204714	0.00625434261363665	0.00625
mcomisiones	0.0172373147567954	0.018504081368697	0.028125
cliente_edad	0.0163474698232381	0.0292802755118956	0.03359375
numero_de_cliente	0.0162996516738836	0.0311811648031204	0.0359375
Visa_fechaalta	0.0156049517631486	0.0265195607804733	0.0328125
Master_Fvencimiento	0.013704444633878	0.0282111334696183	0.0296875
Visa_mconsumototal	0.0130794235331737	0.00983363806470861	0.01484375
mcaja_ahorro_dolares	0.0130326034300892	0.0238941434880418	0.0234375
Visa_Fvencimiento	0.0128133212470444	0.0220642654889887	0.02734375
mtransferencias_recibidas	0.0120877433419057	0.0137944223517271	0.02265625
mcaja_ahorro	0.0119755642041789	0.011894724858413	0.01875
cliente_antiguedad	0.0117372491231968	0.021180348705313	0.025
chomebanking_trx	0.0108542951957026	0.0169628738492695	0.02109375
mrentabilidad	0.0106542803245439	0.0223984512983418	0.0234375
mcomisiones_otras	0.0102805336582297	0.00954312313593585	0.0171875
Visa_mconsumospesos	0.00899200154732357	0.0161420514145024	0.01875
cproductos	0.00873687827091024	0.0143430750327021	0.01171875
mtarjeta_visa_debitos_automaticos	0.00866931332859778	0.0120074490774548	0.01640625
Master_mlimitecompra	0.00833303179398216	0.0169066607144874	0.01796875
Visa_mpagospesos	0.00779044028955924	0.00946540088648199	0.015625
Visa_mfinanciacion_limite	0.00755138576902888	0.0133888137961618	0.0171875
Visa_mlimitecompra	0.00657443433110641	0.00963320319467673	0.01484375
Visa_msaldopesos	0.00614410789422433	0.0144766699032493	0.0140625
mtransferencias_emitidas	0.00581295559075821	0.0059961197330123	0.009375
Master_mfinanciacion_limite	0.00494024829446799	0.00607486352353236	0.009375
mcuenta_debitos_automaticos	0.00481773459663138	0.00876882338389224	0.0078125
mautoservicio	0.00455462272355501	0.010267665325213	0.0109375
ccaja_ahorro	0.00440080553091114	0.016933816681164	0.00703125
mcomisiones_mantenimiento	0.00403016962012376	0.00628005139713618	0.00703125
Visa_mpagominimo	0.00386210025580961	0.00504490893160028	0.00859375
Master_mpagospesos	0.00370099078352565	0.0153691137172137	0.01015625
ccomisiones_otras	0.00343649517177824	0.00676149518879696	0.00625
mpagomiscuentas	0.00336442009409326	0.018058334762072	0.00859375
Master_msaldopesos	0.00329077445929803	0.00532466930303715	0.0046875
Visa_cconsumos	0.00318576772315977	0.0049196566464271	0.00625
ctransferencias_emitidas	0.0031260463038965	0.00238501462818431	0.0046875
ctarjeta_debito	0.00301341010709858	0.0052673069345556	0.00625
ctarjeta_visa_trx	0.00275182455425297	0.00294890529673015	0.0046875
Master_fultimo_cierre	0.00234332428236194	0.00275328018255166	0.00390625
cprestamos_personales	0.002330931168795	0.00309383643549817	0.0015625
ccomisiones_mantenimiento	0.00230948371819399	0.00304609357872339	0.00390625
cseguro_accidentes_personales	0.00222200049171989	0.00916706833093867	0.0046875
mextraccion_autoservicio	0.00220817228708091	0.00812573490657468	0.00546875
Visa_fultimo_cierre	0.00213299481087723	0.0033602600207929	0.00390625
ctarjeta_debito_trx	0.00212615517180942	0.00587461309841521	0.0046875
ctransferencias_recibidas	0.0020410821988488	0.00829911312642246	0.00546875
Visa_mpagado	0.00203411702044664	0.00808912968503562	0.00625
thomebanking	0.00187859478020075	0.0031836185447614	0.00234375
ccallcenter_trx	0.00185194403475748	0.0109168830489278	0.00390625
mtarjeta_master_consumo	0.00163431021124557	0.0028530648814215	0.003125
Master_msaldototal	0.00144873560411475	0.002634596973957	0.003125
Master_mpagominimo	0.00135409859186507	0.00246611363838479	0.003125
cmobile_app_trx	0.00133973311021712	0.00119499022640585	0.00234375
Master_cconsumos	0.00125621244957282	0.00474783911431936	0.003125
catm_trx	0.00113999374530604	0.00727317375840338	0.003125
ctarjeta_visa_debitos_automaticos	0.000800275443631778	0.0010086015460343	0.0015625
ctarjeta_master	0.000671868334876704	0.000849212763565399	0.0015625
ccaja_seguridad	0.000650066242012794	0.00226140815917335	0.00078125
ccuenta_debitos_automaticos	0.000530676482552553	0.00358545307360992	0.0015625
cextraccion_autoservicio	0.00046446332587364	0.00099185962300481	0.00234375
Visa_delinquency	0.000437934707946737	0.00190039270876199	0.00078125
Master_mpagosdolares	0.000435775221757342	0.000810124629712646	0.00078125
cpagomiscuentas	0.000403180305846633	0.00120770273745197	0.00078125
matm	0.000356975219924741	0.00366345908447106	0.00234375
tcallcenter	0.000338780853442803	0.00226140815917335	0.00078125
Master_mconsumosdolares	0.000333708136528434	0.00029716913377347	0.00078125
Visa_mpagosdolares	0.000233560428528532	0.00108622447899561	0.00078125
Visa_mconsumosdolares	0.000214430046000325	0.000333235208638696	0.00078125
Master_mconsumospesos	0.00015524628514316	0.00111369258322027	0.0015625
