Feature	Gain	Cover	Frequency
mcaja_ahorro	0.0807321523194811	0.0230574387597029	0.0340233654437385
cpayroll_trx	0.0681114735306583	0.0147692483163423	0.00420168067226891
mpasivos_margen	0.0551490038946155	0.0192131302962895	0.0253125640500102
mtarjeta_visa_consumo	0.0478310897591071	0.0184711262001942	0.0214183234269318
ctrx_quarter	0.0418822831669493	0.0201431774831857	0.0244927239188358
ccomisiones_otras	0.0391708864855119	0.0169652098328939	0.0193687230989957
Visa_msaldototal	0.0363731954577094	0.0165171674450904	0.0241852838696454
mpayroll	0.0325242512558722	0.0284118696008055	0.00912072145931543
mcuentas_saldo	0.0298908302343197	0.0322623249263767	0.0387374461979914
mrentabilidad_annual	0.0292681583244528	0.0164465034769561	0.0221356835417094
mactivos_margen	0.0273674122639255	0.0227500457584493	0.0222381635581062
Visa_mpagominimo	0.024526929066814	0.0101546312527577	0.0156794425087108
cliente_edad	0.01847344621558	0.0197607797913325	0.0261324041811847
Master_fechaalta	0.0184444381954718	0.0219338202975326	0.0277720844435335
Master_Fvencimiento	0.0177801352938154	0.0219367390591903	0.0280795244927239
mcuenta_corriente	0.0170646136757505	0.0135528282014643	0.0179340028694405
mrentabilidad	0.0164490746283335	0.015811919788538	0.0211108833777413
mtransferencias_recibidas	0.0163050780058946	0.00877471059168463	0.0185488829678213
mprestamos_personales	0.0158587896916571	0.0249017568525352	0.00614880098380816
numero_de_cliente	0.015325337313409	0.0153630242242499	0.023365443738471
cliente_antiguedad	0.0135668645494443	0.0124286509336433	0.0202910432465669
chomebanking_trx	0.0132943266905881	0.0131969039273136	0.0195736831317893
cprestamos_personales	0.0130619833237131	0.00490135421310647	0.00266448042631687
Visa_fechaalta	0.0119546500931527	0.0155017527163755	0.0207009633121541
mcomisiones_otras	0.0116262819453303	0.0131949530968722	0.0183439229350277
Master_mfinanciacion_limite	0.0114429817234872	0.0117293306084573	0.0196761631481861
Visa_mfinanciacion_limite	0.0108436937035153	0.0113540626779868	0.0168067226890756
Visa_Fvencimiento	0.0107218018659482	0.0123475941782729	0.0186513629842181
mcomisiones	0.0104942289390325	0.0105731766851414	0.016089362574298
mcaja_ahorro_dolares	0.0102701870083853	0.0150713825572758	0.0201885632301701
Visa_mconsumospesos	0.00984311808540059	0.0118127622878431	0.0189588030334085
ccomisiones_mantenimiento	0.00975910259535397	0.0180510789776242	0.00655872104939537
Master_mlimitecompra	0.00944145847494721	0.0117089641382233	0.0161918425906948
Visa_msaldopesos	0.00896552317493762	0.0127880278284216	0.0199836031973765
Visa_mpagospesos	0.00875239916688113	0.0101194414647713	0.0156794425087108
mautoservicio	0.00809727077726642	0.0162418558753911	0.0197786431645829
mcomisiones_mantenimiento	0.0076148987471328	0.0133127812597939	0.00901824144291863
ctransferencias_recibidas	0.00730649856563783	0.0133706076659703	0.0118876819020291
