Feature	Gain	Cover	Frequency
ctrx_quarter	0.169528445415232	0.0328904500676571	0.0293574903539675
mpasivos_margen	0.0735760161022675	0.0198719925124191	0.0267572554940446
cpayroll_trx	0.0698532687329562	0.0227139988610538	0.00704579768495219
mpayroll	0.0518001070155597	0.0416570624457959	0.0166638707152044
mcaja_ahorro	0.0391222883808617	0.0168097309091568	0.0283229883129229
mtarjeta_visa_consumo	0.0390843521209486	0.0183012289199149	0.0193200246043729
mcuentas_saldo	0.035206964146226	0.0269928510782916	0.0357881787172175
mactivos_margen	0.0309113932897656	0.0267662638411804	0.0261701056869653
mprestamos_personales	0.0269095147874328	0.0209121526481172	0.00886316613543589
mrentabilidad_annual	0.0229788592319601	0.0168378843762628	0.025890510540737
Visa_msaldototal	0.0225781018268872	0.0108176848657779	0.0144271095453783
ctarjeta_visa_trx	0.0220301875281276	0.0159582379121059	0.0187608343119163
cliente_edad	0.0180288403486194	0.0241902991874461	0.0326287535648381
Visa_msaldopesos	0.0168471366186885	0.0212502953352199	0.0219482189789185
Master_fechaalta	0.0164206068084173	0.029131803562032	0.0360677738634457
mcuenta_corriente	0.0145059734340887	0.0114794384096645	0.0176704132416261
Visa_mpagominimo	0.0138898335587032	0.0139861252923548	0.0182016440194598
chomebanking_trx	0.0133765943203951	0.0137825847113125	0.021389028686462
Master_Fvencimiento	0.0124224261270755	0.0167642710268689	0.0231784376223229
Visa_fechaalta	0.0124213726290375	0.0130976941868081	0.0229268019907174
mrentabilidad	0.0117448674097468	0.0127348616316498	0.0177542917854946
mcomisiones_otras	0.0107873132837712	0.0128288246387212	0.0181177654755913
Visa_Fvencimiento	0.00962144030707688	0.00964961127267046	0.0179779679024772
numero_de_cliente	0.00928635135448121	0.00971269486406856	0.0182855225633283
Master_mfinanciacion_limite	0.00927962842922799	0.0101190846959515	0.0185651177095566
cliente_antiguedad	0.00925455799881991	0.0102288267069218	0.0169434658614326
mcomisiones	0.00863184877963751	0.0102764393242932	0.0158250852765196
mtransferencias_recibidas	0.00777569133532596	0.00707480809999521	0.0146507856623609
ccomisiones_otras	0.0076763809153468	0.0180734118793295	0.0164681541128446
Visa_mpagospesos	0.00738593464708347	0.00955995836779418	0.0150981378963261
mcaja_ahorro_dolares	0.00736729883325717	0.0204185892044261	0.0220041380081642
Visa_mconsumospesos	0.00720535728255985	0.00991601426576662	0.0170273444053011
Visa_mfinanciacion_limite	0.00708604540838033	0.0103975379102844	0.0152938544986859
ccomisiones_mantenimiento	0.00677360767167507	0.0220328452252608	0.00788458312363698
mcomisiones_mantenimiento	0.00667178294065317	0.0138620957905506	0.00914276128166415
Master_mlimitecompra	0.00662808990078134	0.00833934367936193	0.0112956439076218
cproductos	0.00659589307237541	0.00778789493786603	0.00819213778448806
thomebanking	0.00644886868066283	0.00405798553489405	0.00478107700050327
Master_status	0.00590180545262287	0.0153413675630023	0.00293574903539675
mtransferencias_emitidas	0.00573580908870231	0.0107286086484065	0.0120785103170609
cprestamos_personales	0.00530795324159564	0.00411762173934024	0.00237655874294022
Visa_cconsumos	0.00509299846590392	0.00647568189273379	0.0107644131297881
ctransferencias_recibidas	0.0048892639084167	0.0131014252854843	0.00928255885477828
ctransferencias_emitidas	0.00436010874646024	0.0122976803926283	0.0078007045797685
Visa_mlimitecompra	0.00427943503213922	0.00936289567812203	0.00939439691326959
mautoservicio	0.00427141363154329	0.0170400920912045	0.0203545266454174
ccallcenter_trx	0.00425869001663062	0.00664991678966728	0.00321534418162501
mtarjeta_visa_debitos_automaticos	0.00410217771838601	0.00797618109219773	0.00956215400100654
Visa_mpagado	0.0039523971338074	0.0135274572327446	0.00866744953307611
Master_mpagominimo	0.00375422021219864	0.00603083117310016	0.00637476933400436
Master_mpagospesos	0.00374710538818104	0.01792024344643	0.010932170217525
mpagomiscuentas	0.00354794080804993	0.00922899300831249	0.0091986803109098
ccaja_ahorro	0.00354265933375679	0.0172433999128322	0.00679416205334675
mcuenta_debitos_automaticos	0.00343207913711842	0.00821104692162299	0.00939439691326959
mdescubierto_preacordado	0.00338816108970672	0.00851447255772871	0.00282391097690544
ctarjeta_debito_trx	0.00337475198048231	0.00951644393733	0.0151820164401946
tcallcenter	0.00327342010360387	0.00305263624876312	0.0018173684504837
Visa_mconsumototal	0.00311831160639613	0.00353442970892069	0.00648660739249567
ccuenta_debitos_automaticos	0.00309328749231946	0.0088049424110941	0.00637476933400436
Master_msaldopesos	0.00305448207243774	0.00504504409986092	0.00539618632220545
ctarjeta_visa_debitos_automaticos	0.00286672606229745	0.00553804012010339	0.0053402672929598
mplazo_fijo_dolares	0.00286099848556223	0.0176126420369455	0.00341106078398479
ccajas_consultas	0.00256785743754569	0.0122773608431338	0.00282391097690544
cextraccion_autoservicio	0.00225032939554295	0.00307436740883685	0.00640272884862719
mextraccion_autoservicio	0.00204808832940332	0.0042650418253035	0.00875132807694458
Master_msaldototal	0.00192939797753583	0.00307525212621383	0.00397025107644131
ctarjeta_debito	0.00186839105306705	0.0034363743049772	0.0042778057372924
Visa_mconsumosdolares	0.00185548737087784	0.00217884466818993	0.00411004864955544
Visa_mpagosdolares	0.00184181043310097	0.00685108808830999	0.00514455069060001
cpagomiscuentas	0.00168268695721963	0.0034225581230077	0.00411004864955544
cmobile_app_trx	0.00156619378861176	0.00129485104561261	0.00271207291841414
ccaja_seguridad	0.00147251098035211	0.00706040944048562	0.00209696359671196
Master_mconsumospesos	0.00130787280983716	0.00338237296277757	0.00438964379578371
cseguro_accidentes_personales	0.0011509995091851	0.00563040739347658	0.00226472068444892
Visa_status	0.0010651212537128	0.00737281773718454	0.00120225912878152
Visa_Finiciomora	0.000981611124757564	0.00756725406689466	0.00142593524576413
ctarjeta_master	0.000932298091348719	0.000449312520750762	0.000698987865570654
Master_cconsumos	0.000880886144374071	0.0027109500601243	0.00394229156181849
Master_fultimo_cierre	0.000874740365271308	0.00129147777111113	0.00223676116982609
matm	0.000760443981080463	0.00189254364016108	0.00285187049152827
Visa_msaldodolares	0.000713233487473336	0.0018714644380497	0.00201308505284348
tmobile_app	0.000699622213889988	0.0076703062712068	0.00128613767265
Master_mconsumototal	0.000691243494381351	0.00160956030229588	0.00215288262595761
Visa_fultimo_cierre	0.000678229785842039	0.00106522172401285	0.00206900408208914
cinversion1	0.000640078935078149	0.00514012574173101	0.000782866409439132
catm_trx	0.000589654637467299	0.00303143892993387	0.00206900408208914
ccajas_trx	0.000558915850145458	0.0014650004937163	0.000643068836325001
tpaquete7	0.000549396221669224	0.00692718188877919	0.00106246155566739
mtarjeta_master_consumo	0.000484019326331081	0.00129252229345934	0.00137001621651848
mtarjeta_visa_descuentos	0.000468636948661484	0.00616167554632254	0.00335514175473914
cplazo_fijo	0.00041354351795504	0.00311335982181792	0.000698987865570654
Master_mpagado	0.000401744387872003	0.00607155828062404	0.0011742996141587
tpaquete9	0.000384528708357698	0.00268944239540889	0.000782866409439132
active_quarter	0.000358645649219171	0.000187930646171054	0.000447352233965218
ctarjeta_master_trx	0.000288743742772864	0.000746490708886862	0.00109042107029022
Visa_delinquency	0.000265298696294571	0.000874507228922625	0.000475311748588045
ccajas_extracciones	0.000221383450614224	0.00198662244793632	0.000559190292456523
matm_other	0.000188240715755493	0.000732596940445817	0.000810825924061958
mttarjeta_master_debitos_automaticos	0.000179700524125664	0.000445743543059872	0.000587149807079349
Master_mpagosdolares	0.000165312517319211	0.00126777568305885	0.00282391097690544
Master_mconsumosdolares	0.000153080605852446	0.00061079428617557	0.00134205670189566
internet	0.000136560944544296	0.000675629942222049	0.000251635631605435
ctarjeta_master_debitos_automaticos	0.000111207922574135	0.000677253468089223	0.000251635631605435
ctarjeta_visa_descuentos	0.000104774636974606	0.00160818227392075	0.00103450204104457
Master_msaldodolares	9.84436824684136e-05	4.24015857007253e-05	0.000111838058491305
catm_trx_other	8.96604805777508e-05	0.000573141687337382	0.000475311748588045
tpaquete1	7.59580974617993e-05	0.0016611518318496	0.000251635631605435
cseguro_vivienda	6.18710698145987e-05	0.00010611744894153	0.000111838058491305
Master_madelantodolares	6.07514706262926e-05	0.000109347130570308	0.000195716602359783
ccheques_depositados	5.00283052561172e-05	0.000905547607574251	0.000139797573114131
ccajeros_propios_descuentos	3.37631627718786e-05	0.00062971727918233	0.000195716602359783
mcaja_ahorro_adicional	3.23300557768457e-05	0.000335844043132473	8.38785438684784e-05
cseguro_vida	3.00211840836602e-05	0.000150187722783908	0.000139797573114131
minversion1_pesos	2.3423371335664e-05	0.000182373370396043	2.79595146228262e-05
Visa_cadelantosefectivo	1.49268175994404e-05	7.15069345919758e-06	2.79595146228262e-05
mcheques_depositados	9.86619905077661e-06	0.000182791410936735	2.79595146228262e-05
Master_delinquency	7.28917870527328e-06	2.52040231804754e-05	5.59190292456523e-05
Visa_madelantopesos	4.17885906071134e-06	6.81336600904952e-05	0.000195716602359783
mcajeros_propios_descuentos	2.34183239918337e-06	0.000164140549583887	0.000111838058491305
mforex_sell	2.2738778121765e-06	0.000232658668010974	0.000391433204719566
cforex	9.11327003978704e-07	0.000117058299435862	0.000251635631605435
ctarjeta_visa	2.1547713409568e-10	0.000384141042663284	0.000223676116982609
Master_madelantopesos	3.29648111120005e-12	0.000322011649064439	0.000671028350947828
Master_cadelantosefectivo	2.76817446960201e-12	0.000353419115947088	0.000866744953307611
cforex_sell	2.26953178103949e-13	0.000136819689538082	0.000251635631605435
