fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220529 162455	0	0	0	1	hist	lossguide	256	0	1	0.0100465723001925	0.62085447681051	6	839	0.0109703781008288	67	12855000	78
20220529 162734	0	0	0	1	hist	lossguide	256	0	1	0.0163871423936631	0.562708912254448	10	948	0.017160050457017	250	13194000	79
20220529 163046	0	0	0	1	hist	lossguide	256	0	1	0.0111446029654967	0.201127373593418	10	4	0.0350332084891723	927	11501000	80
20220529 163514	0	0	0	1	hist	lossguide	256	0	1	0.0100385882475526	0.201141915444079	6	951	0.0152664891444215	418	13267000	81
20220531 153844	0	0	0	1	hist	lossguide	256	0	1	0.0100307327632053	0.510084673415334	10	933	0.0145710489636694	234	13637000	82
20220531 154205	0	0	0	1	hist	lossguide	256	0	1	0.01015099612863	0.570078743219574	10	411	0.0146326175006449	213	13653000	83
20220531 154653	0	0	0	1	hist	lossguide	256	0	1	0.0102322749744833	0.200113087646	10	64	0.022439601060799	612	12555000	84
20220531 154934	0	0	0	1	hist	lossguide	256	0	1	0.0101906865329405	0.999133276307934	10	3	0.034291918132305	663	10940000	85
20220531 155402	0	0	0	1	hist	lossguide	256	0	1	0.0102782730145842	0.224682719079734	7	1017	0.0210388770792091	425	12548000	86
20220531 155827	0	0	0	1	hist	lossguide	256	0	1	0.0101104361876735	0.20386813762798	6	150	0.018051083574291	380	13272000	87
20220531 160137	0	0	0	1	hist	lossguide	256	0	1	0.0102704712144642	0.558098017819226	9	135	0.0121247094271292	166	13104000	88
20220531 160539	0	0	0	1	hist	lossguide	256	0	1	0.0101058734323735	0.999908662148293	5	948	0.0186584295747979	179	12162000	89
20220531 160957	0	0	0	1	hist	lossguide	256	0	1	0.0101959000329092	0.200687936767793	5	164	0.013996907684838	293	13129000	90
20220531 161305	0	0	0	1	hist	lossguide	256	0	1	0.0115825452468728	0.204139626237844	8	311	0.0194230361048212	229	12726000	91
20220531 161656	0	0	0	1	hist	lossguide	256	0	1	0.0102930030925257	0.999487590992823	4	187	0.0144164281090013	96	12366000	92
20220531 162055	0	0	0	1	hist	lossguide	256	0	1	0.0103101641709951	0.201798072897796	6	378	0.0139985949282103	300	13139000	93
20220531 162516	0	0	0	1	hist	lossguide	256	0	1	0.0100239861656714	0.649705323901394	5	260	0.0154998741113085	308	12984000	94
20220531 162644	0	0	0	1	hist	lossguide	256	0	1	0.0289807140220698	0.587478690493393	10	885	0.0148344380017905	88	13624000	95
20220531 163122	0	0	0	1	hist	lossguide	256	0	1	0.0100228236599672	0.21621751134371	5	923	0.0179781589173295	333	12998000	96
20220531 163148	0	0	0	1	hist	lossguide	256	0	1	0.299183057987641	0.999929257236376	10	965	0.0303874860242825	7	9858000	97
20220531 163220	0	0	0	1	hist	lossguide	256	0	1	0.227190688308717	0.570792210205155	10	980	0.00949108605302488	26	11214000	98
20220531 163613	0	0	0	1	hist	lossguide	256	0	1	0.0102026811342005	0.202999589700955	5	44	0.0218278445351534	357	12398000	99
20220531 164045	0	0	0	1	hist	lossguide	256	0	1	0.0101747477547503	0.26453824634875	5	970	0.0125416293673006	330	12976000	100
20220531 164538	0	0	0	1	hist	lossguide	256	0	1	0.0100636890323696	0.209669564337404	5	574	0.0164500238524399	422	13006000	101
20220531 164818	0	0	0	1	hist	lossguide	256	0	1	0.0103348549778047	0.238750001516081	8	965	0.00834938781415401	47	12446000	102
20220531 165259	0	0	0	1	hist	lossguide	256	0	1	0.0101014560875655	0.316849373381836	6	878	0.0187028179192348	416	12788000	103
20220531 165646	0	0	0	1	hist	lossguide	256	0	1	0.0101399253902366	0.209133306016806	5	2	0.0167691033566959	1489	13065000	104
20220531 170009	0	0	0	1	hist	lossguide	256	0	1	0.0101304229079237	0.913046610985573	10	529	0.0143983256856075	222	13254000	105
20220531 170032	0	0	0	1	hist	lossguide	256	0	1	0.299879127536427	0.993653918414283	0	3	0.0499887383197141	9	8934000	106
20220531 170104	0	0	0	1	hist	lossguide	256	0	1	0.298464224466869	0.999000054592001	2	2	0.0242357984374394	166	12407000	107
20220531 170408	0	0	0	1	hist	lossguide	256	0	1	0.0113142816321751	0.99918901981267	2	3	0.0202241171523618	906	12366000	108
20220531 170742	0	0	0	1	hist	lossguide	256	0	1	0.0109289980538385	0.951527681908517	8	61	0.0144406995025371	240	13195000	109
20220531 171121	0	0	0	1	hist	lossguide	256	0	1	0.0102382300886123	0.997471505398668	7	133	0.0219507815580318	205	11493000	110
20220531 171444	0	0	0	1	hist	lossguide	256	0	1	0.0102079801367086	0.556466360304324	10	820	0.0149396838341432	250	13705000	111
20220531 171513	0	0	0	1	hist	lossguide	256	0	1	0.295350918869877	0.998631375668011	2	2	0.0160213687119913	139	12576000	112
20220531 171542	0	0	0	1	hist	lossguide	256	0	1	0.289315184446421	0.998545167141478	0	3	0.0298459201811196	115	9404000	113
20220531 171914	0	0	0	1	hist	lossguide	256	0	1	0.0100567460497145	0.397065638484751	9	771	0.0148825201433908	281	13425000	114
20220531 172054	0	0	0	1	hist	lossguide	256	0	1	0.0211261456701786	0.995197857578121	2	8	0.0128310199478518	326	13093000	115
20220531 172122	0	0	0	1	hist	lossguide	256	0	1	0.299286308189236	0.200348544429841	5	171	0.0172816732962262	7	11202000	116
20220531 172139	0	0	0	1	hist	lossguide	256	0	1	0.298506886428646	0.9976072131676	3	4	0.049999487961581	8	9268000	117
20220531 172555	0	0	0	1	hist	lossguide	256	0	1	0.0100110706241064	0.98852757764322	3	106	0.0141795227584605	97	12290000	118
20220531 172623	0	0	0	1	hist	lossguide	256	0	1	0.29864437118569	0.999984619704319	2	2	0.00835079825994568	123	10841000	119
20220531 173000	0	0	0	1	hist	lossguide	256	0	1	0.0103471010624542	0.999578137833201	7	722	0.0134451771565253	181	13157000	120
