fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220531 161106	0	0	0	1	auto	depthwise	256	0	1	0.0100367499051508	0.902517334836248	6	16	0.0157698825166614	223	12679000	100
20220531 161744	0	0	0	1	auto	depthwise	256	0	1	0.0995320708294504	0.766960793518764	10	17	0.0161264628546384	20	12514000	101
20220531 165528	0	0	0	1	auto	depthwise	256	0	1	0.0101172913378506	0.692384194750385	10	26	0.0115819316025691	174	13310000	102
20220531 170343	0	0	0	1	auto	depthwise	256	0	1	0.0779343609047463	0.767239053701783	10	17	0.0166660488351499	35	12738000	103
20220531 174803	0	0	0	1	auto	depthwise	256	0	1	0.010078267914254	0.654590850865048	6	30	0.0148605314879897	151	12915000	104
20220531 180322	0	0	0	1	auto	depthwise	256	0	1	0.0101170365954738	0.312195424383366	7	6	0.0168811775912005	494	13250000	105
20220531 180604	0	0	0	1	auto	depthwise	256	0	1	0.0806565247677653	0.681848939767733	5	2	0.0161452437973362	132	12603000	106
20220531 181302	0	0	0	1	auto	depthwise	256	0	1	0.0879788636478714	0.680594667225122	10	29	0.0150349143419328	20	12759000	107
20220531 181651	0	0	0	1	auto	depthwise	256	0	1	0.0861961358851729	0.999969594713954	10	2	0.0167338298102941	163	13033000	108
20220531 184520	0	0	0	1	auto	depthwise	256	0	1	0.0101145211792808	0.525825390721089	7	23	0.0108874587088296	76	12970000	109
20220531 190955	0	0	0	1	auto	depthwise	256	0	1	0.0104423939497237	0.521220143835619	10	20	0.0103108649031517	114	12808000	110
20220531 191955	0	0	0	1	auto	depthwise	256	0	1	0.0203303095102921	0.321363829337077	10	7	0.0189996927200949	316	13053000	111
20220531 192120	0	0	0	1	auto	depthwise	256	0	1	0.188801336310458	0.668300166559714	10	2	0.016412111665003	56	13194000	112
20220531 201837	0	0	0	1	auto	depthwise	256	0	1	0.0102638317526369	0.99999486148816	10	21	0.015294776575358	249	13239000	113
20220531 202121	0	0	0	1	auto	depthwise	256	0	1	0.0960684399502192	0.279503372382569	9	3	0.0170128916591781	225	13221000	114
20220531 203134	0	0	0	1	auto	depthwise	256	0	1	0.0837730215676737	0.999743775235557	7	20	0.0166005231017733	17	12234000	115
20220531 203719	0	0	0	1	auto	depthwise	256	0	1	0.225604779022024	0.999792788685377	10	18	0.0159077162750933	9	11379000	116
20220531 204340	0	0	0	1	auto	depthwise	256	0	1	0.0873611549310671	0.674630126748339	10	19	0.0141021863107615	20	12870000	117
20220531 204450	0	0	0	1	auto	depthwise	256	0	1	0.17680580880737	0.365145744564776	10	2	0.0213903427958515	68	12399000	118
20220531 212714	0	0	0	1	auto	depthwise	256	0	1	0.0100216317630243	0.710104527424975	10	18	0.0163777867767138	294	13071000	119
20220531 213944	0	0	0	1	auto	depthwise	256	0	1	0.077054585419062	0.99947139688491	10	25	0.0211691007414112	48	11512000	120
20220531 214116	0	0	0	1	auto	depthwise	256	0	1	0.299975052248005	0.660022606325327	8	2	0.00939775985354554	69	11523000	121
20220531 214227	0	0	0	1	auto	depthwise	256	0	1	0.158170679433611	0.396654865637799	7	2	0.0160535889615205	70	13044000	122
20220531 214512	0	0	0	1	auto	depthwise	256	0	1	0.0861300484481672	0.647661925772121	10	2	0.0165169132947161	163	13027000	123
