fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220529 005141	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	760	TRUE	999983	0.0101608150765806	0.815587261006456	8000	712	0.0175940057876119	12960000	30
20220529 005254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	669	TRUE	999983	0.0204445259081386	0.200745220639696	7936	138	0.0178186235476775	13276000	31
20220529 005427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	555	TRUE	999983	0.0100276187068373	0.201189309847789	4941	133	0.0199777019137637	13172000	32
20220529 005449	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	999983	0.0342004896220723	0.443966687718168	3878	130	0.00833953902376504	11475000	33
20220529 005456	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	999983	0.276026990425137	0.778390201319024	7979	660	0.031597904427302	10950000	34
20220529 005616	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	581	TRUE	999983	0.0160631772687191	0.566862695415112	4546	18	0.0164969880807049	13664000	35
20220529 005756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	500	TRUE	999983	0.0101470918000707	0.515737214495623	4137	185	0.0159403296813373	14120000	36
20220529 005859	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	529	TRUE	999983	0.0103257683284978	0.939112001231966	6249	179	0.0161241094721113	13236000	37
20220529 010015	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	677	TRUE	999983	0.0104198334924205	0.999348181996443	4836	928	0.0141227098565633	13076000	38
20220529 010024	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	999983	0.29836725957915	0.203003127463411	6866	16	0.0249351778071153	12256000	39
20220529 010129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	473	TRUE	999983	0.010391771879122	0.770730618043642	4449	465	0.0156679315525351	13482000	40
20220529 010321	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	808	TRUE	999983	0.010118210374639	0.290907740537492	5969	762	0.0160636968733079	13461000	41
20220529 010452	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	503	TRUE	999983	0.0100170557149273	0.438879822023743	6102	143	0.0154287681513971	13661000	42
20220529 010557	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	477	TRUE	999983	0.012314998933789	0.930009770703187	3258	151	0.0161665880508942	13338000	43
20220529 010756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	854	TRUE	999983	0.0103021676649171	0.35981104182581	4164	750	0.0136050707044039	13541000	44
20220529 010911	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	422	TRUE	999983	0.0103445623255966	0.584273157237651	7995	48	0.0225855977193308	12438000	45
20220529 011046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	466	TRUE	999983	0.0105265697720883	0.545858689178662	3858	213	0.0152759967793003	13609000	46
20220529 011114	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	168	TRUE	999983	0.038916865147873	0.268106983630079	4618	162	0.0160918448499219	13524000	47
20220529 011155	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	226	TRUE	999983	0.0328898416431844	0.489056399105373	4646	181	0.0176665074783573	13659000	48
20220529 011330	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	505	TRUE	999983	0.0124202225558199	0.428998816760999	8000	165	0.014156362978035	13403000	49
20220529 011453	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	347	TRUE	999983	0.0104276254128154	0.537830432825486	7195	298	0.0192753777891612	12993000	50
20220529 011629	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	536	TRUE	999983	0.0100772633027155	0.574969983485922	4108	973	0.0168287122529758	13811000	51
20220529 011812	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	495	TRUE	999983	0.0102700382118849	0.522073412476042	4065	736	0.0173744266405328	13958000	52
20220529 011912	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	198	TRUE	999983	0.0180400232358417	0.462270125885506	4233	57	0.0136534095407545	13223000	53
20220529 012053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	373	TRUE	999983	0.0100905945659549	0.535990264562855	1928	788	0.0163026630069903	13702000	54
20220529 012300	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	383	TRUE	999983	0.0103386977513896	0.516510038662138	732	189	0.0160674788063105	13403000	55
20220529 012412	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	426	TRUE	999983	0.0100679764454596	0.653982765551858	4135	789	0.0166243061912552	13649000	56
